country,variable,percentile,year,ppp,age,pop
KR,xlcusp999i,p0p100,2023,772.298035,999,i
KS,xlcusp999i,p0p100,2023,0.36429909,999,i
KW,xlcusp999i,p0p100,2023,0.20111646,999,i
KY,xlcusp999i,p0p100,2023,0.94048798,999,i
KZ,xlcusp999i,p0p100,2023,155.24823,999,i
LA,xlcusp999i,p0p100,2023,3605.68115,999,i
LB,xlcusp999i,p0p100,2023,31381.6465,999,i
LC,xlcusp999i,p0p100,2023,1.41015482,999,i
LI,xlcusp999i,p0p100,2023,0.89800316,999,i
LK,xlcusp999i,p0p100,2023,86.7742462,999,i
LR,xlcusp999i,p0p100,2023,0.45324767,999,i
LS,xlcusp999i,p0p100,2023,5.87288666,999,i
LT,xlcusp999i,p0p100,2023,0.50202537,999,i
LU,xlcusp999i,p0p100,2023,0.82240546,999,i
LV,xlcusp999i,p0p100,2023,0.48914027,999,i
LY,xlcusp999i,p0p100,2023,2.18801427,999,i
MA,xlcusp999i,p0p100,2023,3.80928993,999,i
MC,xlcusp999i,p0p100,2023,0.68999058,999,i
MD,xlcusp999i,p0p100,2023,6.90917015,999,i
ME,xlcusp999i,p0p100,2023,0.37238163,999,i
MG,xlcusp999i,p0p100,2023,1247.07397,999,i
MH,xlcusp999i,p0p100,2023,0.92975414,999,i
MK,xlcusp999i,p0p100,2023,18.9713058,999,i
ML,xlcusp999i,p0p100,2023,198.568558,999,i
MM,xlcusp999i,p0p100,2023,418.016632,999,i
MN,xlcusp999i,p0p100,2023,1103.83569,999,i
MO,xlcusp999i,p0p100,2023,4.67451,999,i
MR,xlcusp999i,p0p100,2023,11.1504726,999,i
MS,xlcusp999i,p0p100,2023,0.62527108,999,i
MT,xlcusp999i,p0p100,2023,0.56583619,999,i
MU,xlcusp999i,p0p100,2023,17.5277328,999,i
MV,xlcusp999i,p0p100,2023,7.80111504,999,i
MW,xlcusp999i,p0p100,2023,380.513672,999,i
MX,xlcusp999i,p0p100,2023,10.0899973,999,i
MY,xlcusp999i,p0p100,2023,1.42690802,999,i
MZ,xlcusp999i,p0p100,2023,23.7427826,999,i
NA,xlcusp999i,p0p100,2023,6.86127329,999,i
NC,xlcusp999i,p0p100,2023,104.452843,999,i
NE,xlcusp999i,p0p100,2023,206.170441,999,i
NG,xlcusp999i,p0p100,2023,165.859177,999,i
NI,xlcusp999i,p0p100,2023,11.4683475,999,i
NL,xlcusp999i,p0p100,2023,0.75753385,999,i
NO,xlcusp999i,p0p100,2023,9.27464199,999,i
NP,xlcusp999i,p0p100,2023,32.9949265,999,i
NR,xlcusp999i,p0p100,2023,1.51634181,999,i
NZ,xlcusp999i,p0p100,2023,1.45874929,999,i
OA-MER,xlcusp999i,p0p100,2023,0.30599684,999,i
OA-PPP,xlcusp999i,p0p100,2023,1,999,i
OB-MER,xlcusp999i,p0p100,2023,0.60346161,999,i
OB-PPP,xlcusp999i,p0p100,2023,1,999,i
OC-MER,xlcusp999i,p0p100,2023,0.81088282,999,i
OC-PPP,xlcusp999i,p0p100,2023,1,999,i
OD-MER,xlcusp999i,p0p100,2023,0.52847813,999,i
OD-PPP,xlcusp999i,p0p100,2023,1,999,i
OE-MER,xlcusp999i,p0p100,2023,0.55520078,999,i
OE-PPP,xlcusp999i,p0p100,2023,1,999,i
OH-MER,xlcusp999i,p0p100,2023,0.7563943,999,i
OH-PPP,xlcusp999i,p0p100,2023,1,999,i
OI-MER,xlcusp999i,p0p100,2023,0.38553594,999,i
