country,year,ppp
AD,2023,.6040635108947754
AE,2023,2.381139516830444
AF,2023,14.8148250579834
AG,2023,1.830997467041016
AI,2023,.6417486667633057
AL,2023,42.64095687866211
AM,2023,148.4684143066406
AO,2023,211.8552398681641
AR,2023,139.5042266845703
AT,2023,.7257130146026611
AU,2023,1.405207753181458
AW,2023,1.35393762588501
AZ,2023,.5141962170600891
BA,2023,.710975706577301
BB,2023,2.23317289352417
BD,2023,28.654296875
BE,2023,.72489994764328
BF,2023,194.5228881835938
BG,2023,.78182053565979
BH,2023,.1768046170473099
BI,2023,724.4920654296875
BJ,2023,204.9605102539063
BM,2023,1.157012104988098
BN,2023,.5196390748023987
BO,2023,2.333416700363159
BQ,2023,1.362346887588501
BR,2023,2.443147659301758
BS,2023,.9777884483337402
BT,2023,19.52717971801758
BW,2023,5.087674140930176
BY,2023,.7655767798423767
BZ,2023,1.089393734931946
CA,2023,1.141942739486694
CD,2023,994.9868774414063
CF,2023,238.9968109130859
CG,2023,224.1192016601563
CH,2023,.9906814694404602
CI,2023,213.9334716796875
CL,2023,433.6456298828125
CM,2023,195.0571136474609
CN,2023,3.655184984207153
CN-RU,2023,3.655184984207153
CN-UR,2023,3.655184984207153
CO,2023,1468.347534179688
CR,2023,319.9396667480469
CS,2023,11.55601596832275
CU,2023,.6717751622200012
CV,2023,48.51914215087891
CW,2023,1.240106225013733
CY,2023,.5840303301811218
CZ,2023,13.3145809173584
DD,2023,.7120625972747803
DE,2023,.7120636105537415
DJ,2023,86.16428375244141
DK,2023,5.895834445953369
DM,2023,1.385733962059021
DO,2023,23.50814056396484
DZ,2023,42.22178649902344
EC,2023,.4118572771549225
EE,2023,.6025669574737549
EG,2023,4.791264057159424
ER,2023,4.342446804046631
ES,2023,.5871062278747559
ET,2023,22.18385124206543
FI,2023,.7811525464057922
FJ,2023,.8752117156982422
FM,2023,.9366936683654785
FO,2023,6.331618785858154
FR,2023,.6881647706031799
GA,2023,236.0587158203125
GB,2023,.6806022524833679
GD,2023,1.615817904472351
GE,2023,.8650053143501282
GG,2023,.6806023120880127
GH,2023,3.30501914024353
GI,2023,.6806023120880127
GL,2023,4.782300472259521
GM,2023,16.72281646728516
GN,2023,3134.048828125
GQ,2023,229.0323181152344
GR,2023,.529543936252594
GT,2023,3.285143852233887
GW,2023,212.6878814697266
GY,2023,77.39572143554688
HK,2023,5.534237861633301
HN,2023,11.08397388458252
HR,2023,.4432722330093384
HT,2023,73.40347290039063
HU,2023,175.0727233886719
ID,2023,4823.81005859375
IE,2023,.750110387802124
IL,2023,3.597784280776978
IM,2023,.6806023120880127
IN,2023,20.7739200592041
IQ,2023,483.9282531738281
IR,2023,92172.0546875
IS,2023,147.9862213134766
IT,2023,.6145026683807373
JE,2023,.6806023120880127
JM,2023,92.39162445068359
JO,2023,.3046053647994995
JP,2023,93.09243011474609
KE,2023,42.93884658813477
KG,2023,24.37676048278809
KH,2023,1384.811279296875
KI,2023,.9455741047859192
KM,2023,182.0670013427734
KN,2023,1.811159372329712
KP,2023,17.40652847290039
KR,2023,772.2980346679688
KS,2023,.364299088716507
KW,2023,.2011164575815201
KY,2023,.9404879808425903
KZ,2023,155.2482299804688
LA,2023,3605.68115234375
LB,2023,31381.646484375
LC,2023,1.410154819488525
LI,2023,.8980031609535217
LK,2023,86.77424621582031
LR,2023,.4532476663589478
LS,2023,5.872886657714844
LT,2023,.5020253658294678
LU,2023,.8224054574966431
LV,2023,.4891402721405029
LY,2023,2.188014268875122
MA,2023,3.809289932250977
MC,2023,.6899905800819397
MD,2023,6.909170150756836
ME,2023,.3723816275596619
MG,2023,1247.073974609375
MH,2023,.9297541379928589
MK,2023,18.97130584716797
ML,2023,198.5685577392578
MM,2023,418.0166320800781
MN,2023,1103.835693359375
MO,2023,4.67451000213623
MR,2023,11.15047264099121
MS,2023,.6252710819244385
MT,2023,.5658361911773682
MU,2023,17.52773284912109
MV,2023,7.801115036010742
MW,2023,380.513671875
MX,2023,10.08999729156494
MY,2023,1.426908016204834
MZ,2023,23.74278259277344
NA,2023,6.861273288726807
NC,2023,104.4528427124023
NE,2023,206.1704406738281
NG,2023,165.8591766357422
NI,2023,11.46834754943848
NL,2023,.757533848285675
NO,2023,9.274641990661621
NP,2023,32.99492645263672
NR,2023,1.516341805458069
NZ,2023,1.458749294281006
OA-MER,2023,.3059921600927841
OA-PPP,2023,1
OB-MER,2023,.6027460740414761
OB-PPP,2023,1
OC-MER,2023,.8111786557047955
OC-PPP,2023,1
OD-MER,2023,.5286030973866795
OD-PPP,2023,1
OE-MER,2023,.5557313493261865
OE-PPP,2023,1
OH-MER,2023,.7533625808131099
OH-PPP,2023,1
OI-MER,2023,.3859658693058017
OI-PPP,2023,1
OJ-MER,2023,.3335068541331578
OJ-PPP,2023,1
OK-MER,2023,1.056237840514616
OK-PPP,2023,1
OL-MER,2023,.6861657022655884
OL-PPP,2023,1
OM,2023,.1928395479917526
PA,2023,.4703393280506134
PE,2023,1.745309114456177
PF,2023,105.7543182373047
PG,2023,2.334844350814819
PH,2023,19.27683258056641
PK,2023,56.24761199951172
PL,2023,1.916611194610596
PR,2023,.7721731662750244
PS,2023,.572161853313446
PT,2023,.5487802028656006
PW,2023,.914266049861908
PY,2023,2613.72802734375
QA,2023,2.266189575195313
QE-MER,2023,.7215651693379587
QE-PPP,2023,1
QF-MER,2023,.9183897166440202
QF-PPP,2023,1
QL-MER,2023,.5391721200885508
QL-PPP,2023,1
QM-MER,2023,.4775486417761191
QM-PPP,2023,1
QP-MER,2023,.9865908514935883
QP-PPP,2023,1
RO,2023,1.883619785308838
RS,2023,45.81742477416992
RU,2023,26.2900447845459
RW,2023,345.4281005859375
SA,2023,1.960232973098755
SB,2023,6.085150718688965
SC,2023,7.702864170074463
SD,2023,469.7427368164063
SE,2023,8.484862327575684
SG,2023,.8044468760490417
SI,2023,.5681542754173279
SK,2023,.5209669470787048
SL,2023,4.798620223999023
SM,2023,.6899499893188477
SN,2023,213.6307220458984
SO,2023,10003.587890625
SR,2023,10.53467178344727
SS,2023,428.2391357421875
ST,2023,10.91914939880371
SU,2023,24.54227066040039
SV,2023,.426285982131958
SX,2023,1.386755347251892
SY,2023,2019.61279296875
SZ,2023,6.283020496368408
TC,2023,1.226938605308533
TD,2023,216.2213287353516
TG,2023,194.8185882568359
TH,2023,10.65499401092529
TJ,2023,2.538655996322632
TL,2023,.313024491071701
TM,2023,1.436559915542603
TN,2023,.887353241443634
TO,2023,1.4487065076828
TR,2023,8.183462142944336
TT,2023,3.637269973754883
TV,2023,1.554859638214111
TW,2023,13.53859615325928
TZ,2023,755.55517578125
UA,2023,10.52580547332764
UG,2023,1208.98388671875
US,2023,1
UY,2023,25.72933578491211
UZ,2023,3013.273193359375
VC,2023,1.458479404449463
VE,2023,14.35728454589844
VG,2023,.8149008750915527
VI,2023,.8908355236053467
VN,2023,6795.60009765625
VU,2023,116.3636856079102
WO-MER,2023,.5738554368005856
WO-PPP,2023,1
WS,2023,1.724436283111572
XB-MER,2023,.9819856755709517
XB-PPP,2023,1
XF-MER,2023,.331822466403601
XF-PPP,2023,1
XI,2023,.6848670244216919
XL-MER,2023,.5028115634489312
XL-PPP,2023,1
XN-MER,2023,.3924367712095878
XN-PPP,2023,1
XR-MER,2023,.3079207321611292
XR-PPP,2023,1
XS-MER,2023,.2807441099804543
XS-PPP,2023,1
YE,2023,266.6188354492188
YU,2023,11.69483757019043
ZA,2023,7.283461093902588
ZM,2023,6.466032981872559
ZW,2023,.7271708846092224
ZZ,2023,768.7202758789063
